roomCapturePointId,modelRoomId,userCapturePointId,xMeters,currentY,zMeters,targetY,yOffset,hasCaptures,captureCount
340ad7c1-2f22-47a3-8fbe-7609252b027b,cec5063a-9ad0-4238-8d3d-841f904cee5a,PH1-L00-MB FIBRE ENTRY ROOM 02 - Default Point,51.398,50.4,-45.466,0.0,-50.4,yes,5
f2570101-3ff3-45bd-9b8f-aa893c30f7ab,0f35a014-742d-469e-bf82-4fc94289c6d5,PH1-L00-FOH SECURITY LOBBY - Default Point,88.625,50.4,6.25,0.0,-50.4,yes,47
6a28416c-f78e-4d0d-a5b6-c212661a1b95,1ea61a64-35fd-465a-be6b-c9564bbc8f46,PH1-L00-MB STAIRS WEST 1C - Default Point,1.297,50.4,-43.279,0.0,-50.4,no(empty),0
1bea1985-5e9d-441f-a21d-1cd130fd4818,0adb30f9-ec26-4358-acdb-13e2efc7bfa0,PH1-L00-MB CORRIDOR D.1 - Default Point,48.399,50.4,-17.263,0.0,-50.4,yes,14
e7544552-b78e-4427-8aed-5593c94a1687,f11f8792-760f-4436-b6ce-eefdb2d30e5e,PH2-L00-MB DATAHALL 2.1 - Default Point,93.607,50.4,-17.891,0.0,-50.4,yes,50
bb1430e9-8ccc-49d4-8a4c-4fb6a36fb42f,030287e2-0e77-4e0e-bb01-2f6ba6b5751d,PH1-L00-FOH STAIRS NORTH 1B - Default Point,44.018,50.4,-2.091,0.0,-50.4,no(empty),0
1c54394a-9f33-430e-a418-cd7dbec647dc,0e7d1595-1c6a-4f1e-9f8e-ef5566371392,PH1-L00-MB STAIRS EAST 2C - Default Point,108.759,50.4,-42.38,0.0,-50.4,no(empty),0
05ba5722-691d-4cf1-97b8-eb0c8c5d1f0a,92e65767-8159-411f-ba95-d835ab4ad3fc,PH1-L00-FOH GOODS LIFT 01 - Default Point,35.825,50.4,-2.174,0.0,-50.4,no(empty),0
addf936c-5ccb-4a0a-b9c4-6473a0e0dbfa,a0fad07c-cb88-4277-867e-dd9894816511,PH2-L00-MB EWALL TRANSFORMER H - Default Point,59.268,50.4,-38.033,0.0,-50.4,yes,42
178e0648-9055-419b-b70c-8f8e3890371d,feabea65-3588-4d44-8a93-5373d4c083b7,PH1-L00-MB DATAHALL 1.1 - Default Point,16.01,50.4,-19.178,0.0,-50.4,yes,14
f0727c6d-ba76-42b7-9c80-3d44f007ce3c,fc9f0629-55b2-45f3-8e17-7f587fd39711,PH1-L00-MB FIBRE ENTRY ROOM 1 - Default Point,4.366,50.4,-1.656,0.0,-50.4,yes,7
e729eae3-5e72-4680-bcc1-e9a4fd5c3bfa,bfa7801b-a03c-462e-9f22-18362b0e2fab,PH2-L00-MB CORRIDOR R2 - Default Point,88.162,50.4,-50.153,0.0,-50.4,yes,51
fa989e2a-eff8-4aa3-8659-aa866445761f,67862a10-7f1b-4c97-9e8c-2763d0200068,PH2-L00-MB CATCHER UPS R2 - Default Point,89.647,50.4,-53.107,0.0,-50.4,yes,31
00b59622-6948-4ac7-8787-12d090d3f41f,5c9cca72-93b8-4f82-8094-d05484d2bece,PH1-L00-FOH CHANGING ROOM ACCESIBLE - Default Point,28.106,50.4,-1.835,0.0,-50.4,no(empty),0
