itemId,itemType,userItemId,itemName,parentItemId,parentPresent
45675c9d-a204-4a0f-8b4b-f6268a892144,WBS,AUS02-60-Schedule-L1-.1.1.2.1.2.3.1.2.3.1,"Zone 1 (Areas D, C, B, A)",428f8f37-2485-4f9e-8a22-5f829920002b,yes
4570a7c0-5fbe-45ac-8536-1050ddb23cfc,WBS,AUS02-60-Schedule-L1-.1.1.1.1.1.4.1.1.4.4,Site,1228fb9d-976b-43f3-bd0f-1227d8a94342,yes
4590d62b-b9fc-4a34-8f7a-0c57d9b2b818,WBS,AUS02-60-Schedule-L1-.1.1.2.1.2.9.1.2.9.6,Area F,384071d3-0c33-473c-95ff-d3ab5d02ea5b,yes
45992aec-2219-4aeb-8bca-3a38aea51a3f,WBS,AUS02-60-Schedule-L1-.1.1.1.1.1.3.1.1.3.61.1,1st Tier,7bf12957-83db-4502-ada6-0be60a736b27,yes
45ba5c75-b47c-444d-8185-04d8f16bc5bd,Activity,CS-PCST-L-1010,Precast Concrete - Area L - Grout & Patch,68d187e3-ae7b-4998-9a09-cf71d78d75a8,yes
470dc016-5c04-4cf4-98d3-a13412641d71,WBS,AUS02-60-Schedule-L1-.1.1.2.1.2.9.1.2.9.12,Area L,384071d3-0c33-473c-95ff-d3ab5d02ea5b,yes
47ac8076-f07c-48d3-bba5-6b75195b0bca,Activity,OFCI-CHI-1020,Delivery of Air Cooled Chiller - #11 - 15 (5.nr),356f8480-3cba-435d-83d0-f0ea91f4b7f7,yes
47dfc0c4-a739-4194-ae8b-884b8fff7158,WBS,AUS02-60-Schedule-L1-.1.1.2.1.2.10.1.2.10.2,"North Elevation (Areas A, B, E, K, M, O & Q)",2f31e576-0435-437d-9e08-cfaa220656f6,yes
48135af5-99c9-4b9d-90be-205a8198d4ca,WBS,AUS02-60-Schedule-L1-.1.1.2.1.2.6.1.2.6.2,Area A,0194d2ec-7c1a-439d-9328-06dd55d7c06d,yes
48abb169-0fea-40e5-a1b1-94ac94663e0b,Activity,CS-ROOF-L-1010,Roofing - Area L - Intermediate Ply,470dc016-5c04-4cf4-98d3-a13412641d71,yes
48b4a08f-db47-4218-8efa-93c66e82d6b7,WBS,AUS02-60-Schedule-L1-.1.1.2.1.2.4.6.1.2.4.6.4,Area D,13023c24-2aca-4b2a-bf18-79fa4be7c76f,yes
49eec6b4-2c9b-454f-81ca-83d3ec2d7ea8,Activity,OFCI-CDU-1020,Delivery of CDUs - #41 - 60 (20nr.),11ba89ad-7ef7-4f0c-afee-af572619b3b1,yes
4a00534b-af5f-4d54-baeb-fab3c6c76e79,Activity,CIV-SAN-1010,Sanitary - Install Force Main Line - South & West,99c4b4fd-8f58-40c2-b455-8657c8fe96bd,yes
